Rank,Song,Artist,Year,Concatenated,Concatenated_no_rank,song_artist
,,,,139 Ballad of the Green Berets Staff Sergeant Barry Sadler 1966,Ballad of the Green Berets Staff Sergeant Barry Sadler 1966,Ballad of the Green Berets Staff Sergeant Barry Sadler 
,,,,140 Proud Mary Creedence Clearwater,Proud Mary Creedence Clearwater,Proud Mary Creedence 
,,,,Revival 1969,1969,#VALUE!
,,,,141 Too Young Nat King Cole 1951,Too Young Nat King Cole 1951,Too Young Nat King Cole 
,,,,142 Umbrella Rihanna & Jay-Z 2007,Umbrella Rihanna & Jay-Z 2007,Umbrella Rihanna & Jay-Z 
,,,,143 Swanee Al Jolson 1920,Swanee Al Jolson 1920,Swanee Al Jolson 
,,,,144 Need You Tonight INXS 1988,Need You Tonight INXS 1988,Need You Tonight INXS 
,,,,145 Like a Rolling Stone Bob Dylan 1965,Like a Rolling Stone Bob Dylan 1965,Like a Rolling Stone Bob Dylan 
,,,,146 Lady Kenny Rogers 1980,Lady Kenny Rogers 1980,Lady Kenny Rogers 
,,,,147 One Sweet Day Mariah Carey & Boyz II Men 1996,One Sweet Day Mariah Carey & Boyz II Men 1996,One Sweet Day Mariah Carey & Boyz II Men 
,,,,148 Lean On Me Bill Withers 1972,Lean On Me Bill Withers 1972,Lean On Me Bill Withers 
,,,,149 Tik-Toc Ke$ha 2010,Tik-Toc Ke$ha 2010,Tik-Toc Ke$ha 
,,,,150 Monday Monday The Mamas & The Papas 1966,Monday Monday The Mamas & The Papas 1966,Monday Monday The Mamas & The Papas 
,,,,151 What'd I Say Ray Charles 1959,What'd I Say Ray Charles 1959,What'd I Say Ray Charles 
,,,,152 How You Remind Me Nickelback 2002,How You Remind Me Nickelback 2002,How You Remind Me Nickelback 
,,,,153 Silly Love Songs Wings 1976,Silly Love Songs Wings 1976,Silly Love Songs Wings 
,,,,154 My Guy Mary Wells 1964,My Guy Mary Wells 1964,My Guy Mary Wells 
,,,,155 Macarena Los Del Rio 1996,Macarena Los Del Rio 1996,Macarena Los Del Rio 
,,,,"156 Goodnight, Irene Gordon Jenkins & The","Goodnight, Irene Gordon Jenkins & The","Goodnight, Irene Gordon Jenkins & "
,,,,Weavers 1950,1950,#VALUE!
,,,,157 Just My Imagination (Running Away With Me) The Temptations 1971,Just My Imagination (Running Away With Me) The Temptations 1971,Just My Imagination (Running Away With Me) The Temptations 
,,,,158 The Sounds of Silence Simon & Garfunkel 1966,The Sounds of Silence Simon & Garfunkel 1966,The Sounds of Silence Simon & Garfunkel 
,,,,159 Imagine John Lennon 1971,Imagine John Lennon 1971,Imagine John Lennon 
,,,,160 Me & Bobby McGee Janis Joplin 1971,Me & Bobby McGee Janis Joplin 1971,Me & Bobby McGee Janis Joplin 
,,,,161 Near You Francis Craig 1947,Near You Francis Craig 1947,Near You Francis Craig 
,,,,162 What's Going On? Marvin Gaye 1971,What's Going On? Marvin Gaye 1971,What's Going On? Marvin Gaye 
,,,,163 Suspicious Minds Elvis Presley 1969,Suspicious Minds Elvis Presley 1969,Suspicious Minds Elvis Presley 
,,,,164 Ode To Billie Joe Bobbie Gentry 1967,Ode To Billie Joe Bobbie Gentry 1967,Ode To Billie Joe Bobbie Gentry 
,,,,165 Wind Beneath My Wings Bette Midler 1989,Wind Beneath My Wings Bette Midler 1989,Wind Beneath My Wings Bette Midler 
,,,,166 The Boy is Mine Brandy & Monica 1998,The Boy is Mine Brandy & Monica 1998,The Boy is Mine Brandy & Monica 
,,,,167 Mr Tambourine Man The Byrds 1965,Mr Tambourine Man The Byrds 1965,Mr Tambourine Man The Byrds 
,,,,168 Faith George Michael 1987,Faith George Michael 1987,Faith George Michael 
,,,,169 Green Onions Booker T & the MGs 1962,Green Onions Booker T & the MGs 1962,Green Onions Booker T & the MGs 
,,,,170 Mrs Robinson Simon & Garfunkel 1968,Mrs Robinson Simon & Garfunkel 1968,Mrs Robinson Simon & Garfunkel 
,,,,171 How Deep is Your Love? Bee Gees 1978,How Deep is Your Love? Bee Gees 1978,How Deep is Your Love? Bee Gees 
,,,,172 Hey There Rosemary Clooney 1954,Hey There Rosemary Clooney 1954,Hey There Rosemary Clooney 
,,,,173 Heart of Glass Blondie 1979,Heart of Glass Blondie 1979,Heart of Glass Blondie 
,,,,174 Pennies From Heaven Bing Crosby 1936,Pennies From Heaven Bing Crosby 1936,Pennies From Heaven Bing Crosby 
,,,,175 Like a Virgin Madonna 1985,Like a Virgin Madonna 1985,Like a Virgin Madonna 
,,,,176 Midnight Train to Georgia Gladys Knight & The Pips 1973,Midnight Train to Georgia Gladys Knight & The Pips 1973,Midnight Train to Georgia Gladys Knight & The Pips 
,,,,177 Help! The Beatles 1965,Help! The Beatles 1965,Help! The Beatles 
,,,,178 Tossing & Turning Bobby Lewis 1961,Tossing & Turning Bobby Lewis 1961,Tossing & Turning Bobby Lewis 
,,,,179 The Sign Ace of Base 1994,The Sign Ace of Base 1994,The Sign Ace of Base 
,,,,180 Born to Be Wild Steppenwolf 1968,Born to Be Wild Steppenwolf 1968,Born to Be Wild Steppenwolf 
,,,,181 Layla Derek & The Dominos 1972,Layla Derek & The Dominos 1972,Layla Derek & The Dominos 
,,,,182 I Just Wanna Be Your Everything Andy Gibb 1977,I Just Wanna Be Your Everything Andy Gibb 1977,I Just Wanna Be Your Everything Andy Gibb 
,,,,183 War Edwin Starr 1970,War Edwin Starr 1970,War Edwin Starr 
,,,,184 96 Tears Question Mark & The,96 Tears Question Mark & The,96 Tears Question Mark & 
,,,,Mysterians 1966,1966,#VALUE!
,,,,185 I Get Around The Beach Boys 1964,I Get Around The Beach Boys 1964,I Get Around The Beach Boys 
,,,,186 Because You Loved Me Celine Dion 1996,Because You Loved Me Celine Dion 1996,Because You Loved Me Celine Dion 
,,,,187 Summer in the City Lovin' Spoonful 1966,Summer in the City Lovin' Spoonful 1966,Summer in the City Lovin' Spoonful 
,,,,188 Get Back The Beatles 1969,Get Back The Beatles 1969,Get Back The Beatles 
,,,,189 Secret Love Doris Day 1954,Secret Love Doris Day 1954,Secret Love Doris Day 
,,,,190 9 to 5 Dolly Parton 1981,9 to 5 Dolly Parton 1981,9 to 5 Dolly Parton 
,,,,191 (Ghost) Riders in the Sky Vaughn Monroe 1949,(Ghost) Riders in the Sky Vaughn Monroe 1949,(Ghost) Riders in the Sky Vaughn Monroe 
,,,,192 The Loco-Motion Little Eva 1962,The Loco-Motion Little Eva 1962,The Loco-Motion Little Eva 
,,,,193 Play That Funky Music Wild Cherry 1976,Play That Funky Music Wild Cherry 1976,Play That Funky Music Wild Cherry 
