Rank,Song,Artist,Year,Concatenated,Concatenated_no_rank,song_artist
,,,,600 We Got The Beat The Go Gos 1982,We Got The Beat The Go Gos 1982,We Got The Beat The Go Gos 
,,,,"601 On the Atchison, Topeka & the Santa Fe Johnny Mercer 1945","On the Atchison, Topeka & the Santa Fe Johnny Mercer 1945","On the Atchison, Topeka & the Santa Fe Johnny Mercer "
,,,,602 Always On My Mind Willie Nelson 1982,Always On My Mind Willie Nelson 1982,Always On My Mind Willie Nelson 
,,,,603 Unforgettable Nat King Cole 1952,Unforgettable Nat King Cole 1952,Unforgettable Nat King Cole 
,,,,604 In the End Linkin Park 2002,In the End Linkin Park 2002,In the End Linkin Park 
,,,,605 Just the Way You Are Bruno Mars 2010,Just the Way You Are Bruno Mars 2010,Just the Way You Are Bruno Mars 
,,,,606 Music Madonna 2000,Music Madonna 2000,Music Madonna 
,,,,607 Can't Buy Me Love The Beatles 1964,Can't Buy Me Love The Beatles 1964,Can't Buy Me Love The Beatles 
,,,,608 Chain of Fools Aretha Franklin 1968,Chain of Fools Aretha Franklin 1968,Chain of Fools Aretha Franklin 
,,,,609 Won't Get Fooled Again The Who 1971,Won't Get Fooled Again The Who 1971,Won't Get Fooled Again The Who 
,,,,610 Happy Days Are Here Again Ben Selvin 1930,Happy Days Are Here Again Ben Selvin 1930,Happy Days Are Here Again Ben Selvin 
,,,,611 Third Man Theme Anton Karas 1950,Third Man Theme Anton Karas 1950,Third Man Theme Anton Karas 
,,,,612 Your Cheatin' Heart Hank Williams 1953,Your Cheatin' Heart Hank Williams 1953,Your Cheatin' Heart Hank Williams 
,,,,613 Thriller Michael Jackson 1984,Thriller Michael Jackson 1984,Thriller Michael Jackson 
,,,,614 Venus Shocking Blue 1970,Venus Shocking Blue 1970,Venus Shocking Blue 
,,,,615 Time After Time Cyndi Lauper 1984,Time After Time Cyndi Lauper 1984,Time After Time Cyndi Lauper 
,,,,616 That Lucky Old Sun (Just Rolls Around,That Lucky Old Sun (Just Rolls Around,That Lucky Old Sun (Just Rolls 
,,,,Heaven All Day) Frankie Laine 1949,All Day) Frankie Laine 1949,All Day) Frankie Laine 
,,,,617 E.T. Katy Perry & Kanye West 2011,E.T. Katy Perry & Kanye West 2011,E.T. Katy Perry & Kanye West 
,,,,618 Three Coins in the Fountain Four Aces 1954,Three Coins in the Fountain Four Aces 1954,Three Coins in the Fountain Four Aces 
,,,,619 Touch Me The Doors 1969,Touch Me The Doors 1969,Touch Me The Doors 
,,,,620 You Ain't Seen Nothin' Yet Bachman-Turner Overdrive 1974,You Ain't Seen Nothin' Yet Bachman-Turner Overdrive 1974,You Ain't Seen Nothin' Yet Bachman-Turner Overdrive 
,,,,621 Gives You Hell All-American Rejects 2009,Gives You Hell All-American Rejects 2009,Gives You Hell All-American Rejects 
,,,,622 Knock On Wood Amii Stewart 1979,Knock On Wood Amii Stewart 1979,Knock On Wood Amii Stewart 
,,,,623 One of These Nights Eagles 1975,One of These Nights Eagles 1975,One of These Nights Eagles 
,,,,624 Again Janet Jackson 1993,Again Janet Jackson 1993,Again Janet Jackson 
,,,,625 Doo Wop (That Thing) Lauryn Hill 1998,Doo Wop (That Thing) Lauryn Hill 1998,Doo Wop (That Thing) Lauryn Hill 
,,,,626 Whoomp! (There it Is) Tag Team 1993,Whoomp! (There it Is) Tag Team 1993,Whoomp! (There it Is) Tag Team 
,,,,627 Magic Olivia Newton-John 1980,Magic Olivia Newton-John 1980,Magic Olivia Newton-John 
,,,,628 I'm Walking Behind You Eddie Fisher 1953,I'm Walking Behind You Eddie Fisher 1953,I'm Walking Behind You Eddie Fisher 
,,,,629 We Didn't Start the Fire Billy Joel 1989,We Didn't Start the Fire Billy Joel 1989,We Didn't Start the Fire Billy Joel 
,,,,630 Lola The Kinks 1970,Lola The Kinks 1970,Lola The Kinks 
,,,,631 Ghostbusters Ray Parker Jr 1984,Ghostbusters Ray Parker Jr 1984,Ghostbusters Ray Parker Jr 
,,,,632 Winchester Cathedral New Vaudeville Band 1966,Winchester Cathedral New Vaudeville Band 1966,Winchester Cathedral New Vaudeville Band 
,,,,633 Greatest Love of All Whitney Houston 1986,Greatest Love of All Whitney Houston 1986,Greatest Love of All Whitney Houston 
,,,,634 My Love Justin Timberlake 2007,My Love Justin Timberlake 2007,My Love Justin Timberlake 
,,,,635 Wannabe Spice Girls 1997,Wannabe Spice Girls 1997,Wannabe Spice Girls 
,,,,636 Miss You The Rolling Stones 1978,Miss You The Rolling Stones 1978,Miss You The Rolling Stones 
,,,,637 I Feel Fine The Beatles 1965,I Feel Fine The Beatles 1965,I Feel Fine The Beatles 
,,,,638 Baby Baby Amy Grant 1991,Baby Baby Amy Grant 1991,Baby Baby Amy Grant 
,,,,639 TSOP (The Sound of Philadelphia) MFSB 1974,TSOP (The Sound of Philadelphia) MFSB 1974,TSOP (The Sound of Philadelphia) MFSB 
,,,,640 Loving You Minnie Riperton 1975,Loving You Minnie Riperton 1975,Loving You Minnie Riperton 
,,,,641 This Guy's in Love With You Herb Alpert 1968,This Guy's in Love With You Herb Alpert 1968,This Guy's in Love With You Herb Alpert 
,,,,642 Till I Waltz Again With You Teresa Brewer 1953,Till I Waltz Again With You Teresa Brewer 1953,Till I Waltz Again With You Teresa Brewer 
,,,,643 Why Do Fools Fall in Love? Frankie Lymon & The,Why Do Fools Fall in Love? Frankie Lymon & The,Why Do Fools Fall in Love? Frankie Lymon & 
,,,,Teenagers 1956,1956,#VALUE!
,,,,644 Nights in White Satin The Moody Blues 1968,Nights in White Satin The Moody Blues 1968,Nights in White Satin The Moody Blues 
,,,,645 That's the Way (I Like It) KC & The Sunshine Band 1975,That's the Way (I Like It) KC & The Sunshine Band 1975,That's the Way (I Like It) KC & The Sunshine Band 
,,,,646 My Prayer The Platters 1956,My Prayer The Platters 1956,My Prayer The Platters 
,,,,647 (Put Another Nickel In) Music! Music! Music! Teresa Brewer 1950,(Put Another Nickel In) Music! Music! Music! Teresa Brewer 1950,(Put Another Nickel In) Music! Music! Music! Teresa Brewer 
,,,,648 Colors of the Wind Vanessa Williams 1995,Colors of the Wind Vanessa Williams 1995,Colors of the Wind Vanessa Williams 
,,,,649 Morning Train (Nine to Five) Sheena Easton 1981,Morning Train (Nine to Five) Sheena Easton 1981,Morning Train (Nine to Five) Sheena Easton 
,,,,650 I Went to Your Wedding Patti Page 1952,I Went to Your Wedding Patti Page 1952,I Went to Your Wedding Patti Page 
,,,,651 Kiss Me Sixpence None The Richer 1999,Kiss Me Sixpence None The Richer 1999,Kiss Me Sixpence None The Richer 
,,,,"652 Gypsies, Tramps & Thieves Cher 1971","Gypsies, Tramps & Thieves Cher 1971","Gypsies, Tramps & Thieves Cher "
,,,,653 Cracklin' Rosie Neil Diamond 1970,Cracklin' Rosie Neil Diamond 1970,Cracklin' Rosie Neil Diamond 
,,,,654 Maybellene Chuck Berry 1955,Maybellene Chuck Berry 1955,Maybellene Chuck Berry 
,,,,655 Born in the USA Bruce Springsteen 1985,Born in the USA Bruce Springsteen 1985,Born in the USA Bruce Springsteen 
,,,,656 Here Without You Three Doors Down 2003,Here Without You Three Doors Down 2003,Here Without You Three Doors Down 
,,,,657 Mony Mony Tommy James & the,Mony Mony Tommy James & the,Mony Mony Tommy James & 
,,,,Shondells 1968,1968,#VALUE!
,,,,658 Mmmbop Hanson 1997,Mmmbop Hanson 1997,Mmmbop Hanson 
,,,,659 You Always Hurt the One You Love The Mills Brothers 1944,You Always Hurt the One You Love The Mills Brothers 1944,You Always Hurt the One You Love The Mills Brothers 
,,,,660 Eight Days a Week The Beatles 1965,Eight Days a Week The Beatles 1965,Eight Days a Week The Beatles 
,,,,661 What Goes Around Comes Around Justin Timberlake 2007,What Goes Around Comes Around Justin Timberlake 2007,What Goes Around Comes Around Justin Timberlake 
,,,,662 Kung Fu Fighting Carl Douglas 1974,Kung Fu Fighting Carl Douglas 1974,Kung Fu Fighting Carl Douglas 
,,,,663 Fantasy Mariah Carey 1995,Fantasy Mariah Carey 1995,Fantasy Mariah Carey 
,,,,664 Sir Duke Stevie Wonder 1977,Sir Duke Stevie Wonder 1977,Sir Duke Stevie Wonder 
,,,,665 Ain't Misbehavin' Fats Waller 1929,Ain't Misbehavin' Fats Waller 1929,Ain't Misbehavin' Fats Waller 
,,,,666 Need You Now Lady Antebellum 2010,Need You Now Lady Antebellum 2010,Need You Now Lady Antebellum 
,,,,667 Last Train to Clarksville The Monkees 1966,Last Train to Clarksville The Monkees 1966,Last Train to Clarksville The Monkees 
,,,,668 Yakety Yak The Coasters 1958,Yakety Yak The Coasters 1958,Yakety Yak The Coasters 
,,,,669 I'll be seeing you Bing Crosby 1944,I'll be seeing you Bing Crosby 1944,I'll be seeing you Bing Crosby 
,,,,670 Hard to Say I'm Sorry Chicago 1982,Hard to Say I'm Sorry Chicago 1982,Hard to Say I'm Sorry Chicago 
,,,,671 It's My Party Lesley Gore 1963,It's My Party Lesley Gore 1963,It's My Party Lesley Gore 
,,,,672 Love to Love You Baby Donna Summer 1976,Love to Love You Baby Donna Summer 1976,Love to Love You Baby Donna Summer 
,,,,673 Miss You Much Janet Jackson 1989,Miss You Much Janet Jackson 1989,Miss You Much Janet Jackson 
,,,,674 Born to Run Bruce Springsteen 1975,Born to Run Bruce Springsteen 1975,Born to Run Bruce Springsteen 
,,,,675 Instant Karma John Lennon 1970,Instant Karma John Lennon 1970,Instant Karma John Lennon 
,,,,676 The Rose Bette Midler 1980,The Rose Bette Midler 1980,The Rose Bette Midler 
,,,,677 Purple Rain Prince 1984,Purple Rain Prince 1984,Purple Rain Prince 
,,,,678 One U2 1992,One U2 1992,One U2 
,,,,679 Groove is in the Heart Deee-Lite 1990,Groove is in the Heart Deee-Lite 1990,Groove is in the Heart Deee-Lite 
,,,,680 Gimme Some Lovin' Spencer Davis Group 1967,Gimme Some Lovin' Spencer Davis Group 1967,Gimme Some Lovin' Spencer Davis Group 
,,,,681 Beautiful Day U2 2000,Beautiful Day U2 2000,Beautiful Day U2 
,,,,682 Escape (The Pina Colada Song) Rupert Holmes 1979,Escape (The Pina Colada Song) Rupert Holmes 1979,Escape (The Pina Colada Song) Rupert Holmes 
,,,,683 Use Somebody Kings of Leon 2009,Use Somebody Kings of Leon 2009,Use Somebody Kings of Leon 
,,,,684 Fortunate Son Creedence Clearwater,Fortunate Son Creedence Clearwater,Fortunate Son Creedence 
,,,,Revival 1969,1969,#VALUE!
,,,,685 Afternoon Delight Starland Vocal Band 1976,Afternoon Delight Starland Vocal Band 1976,Afternoon Delight Starland Vocal Band 
,,,,686 Love's Theme Love Unlimited 1974,Love's Theme Love Unlimited 1974,Love's Theme Love Unlimited 
,,,,687 Sailing Christopher Cross 1980,Sailing Christopher Cross 1980,Sailing Christopher Cross 
,,,,688 Cherry Pink & Apple Blossom White Perez Prado 1955,Cherry Pink & Apple Blossom White Perez Prado 1955,Cherry Pink & Apple Blossom White Perez Prado 
,,,,689 Georgy Girl The Seekers 1967,Georgy Girl The Seekers 1967,Georgy Girl The Seekers 
,,,,690 How to Save a Life The Fray 2007,How to Save a Life The Fray 2007,How to Save a Life The Fray 
,,,,691 I Walk the Line Johnny Cash 1956,I Walk the Line Johnny Cash 1956,I Walk the Line Johnny Cash 
,,,,692 All You Need is Love The Beatles 1967,All You Need is Love The Beatles 1967,All You Need is Love The Beatles 
,,,,693 U Can't Touch This MC Hammer 1990,U Can't Touch This MC Hammer 1990,U Can't Touch This MC Hammer 
,,,,694 All Out of Love Air Supply 1980,All Out of Love Air Supply 1980,All Out of Love Air Supply 
,,,,695 Where is the Love? The Black Eyed Peas 2003,Where is the Love? The Black Eyed Peas 2003,Where is the Love? The Black Eyed Peas 
,,,,696 Revolution The Beatles 1968,Revolution The Beatles 1968,Revolution The Beatles 
,,,,697 The Love You Save The Jackson 5 1970,The Love You Save The Jackson 5 1970,The Love You Save The Jackson 5 
,,,,698 Black Or White Michael Jackson 1991,Black Or White Michael Jackson 1991,Black Or White Michael Jackson 
,,,,699 This Used to Be My Playground Madonna 1992,This Used to Be My Playground Madonna 1992,This Used to Be My Playground Madonna 
,,,,700 Living For the City Stevie Wonder 1974,Living For the City Stevie Wonder 1974,Living For the City Stevie Wonder 
,,,,701 School's Out Alice Cooper 1972,School's Out Alice Cooper 1972,School's Out Alice Cooper 
,,,,702 Disturbia Rihanna 2008,Disturbia Rihanna 2008,Disturbia Rihanna 
,,,,703 Riders On the Storm The Doors 1971,Riders On the Storm The Doors 1971,Riders On the Storm The Doors 
,,,,704 Some Enchanted Evening Perry Como 1949,Some Enchanted Evening Perry Como 1949,Some Enchanted Evening Perry Como 
,,,,705 Weak SWV 1993,Weak SWV 1993,Weak SWV 
,,,,706 Maneater Hall & Oates 1982,Maneater Hall & Oates 1982,Maneater Hall & Oates 
,,,,707 More Than Words Extreme 1991,More Than Words Extreme 1991,More Than Words Extreme 
,,,,708 Time of the Season The Zombies 1969,Time of the Season The Zombies 1969,Time of the Season The Zombies 
,,,,709 Mrs Brown You've Got a Lovely Daughter Herman's Hermits 1965,Mrs Brown You've Got a Lovely Daughter Herman's Hermits 1965,Mrs Brown You've Got a Lovely Daughter Herman's Hermits 
,,,,710 If You Leave Me Now Chicago 1976,If You Leave Me Now Chicago 1976,If You Leave Me Now Chicago 
,,,,"711 Can't Get Enough of Your Love, Babe Barry White 1974","Can't Get Enough of Your Love, Babe Barry White 1974","Can't Get Enough of Your Love, Babe Barry White "
,,,,712 Na Na Hey Hey (Kiss Him Goodbye) Steam 1969,Na Na Hey Hey (Kiss Him Goodbye) Steam 1969,Na Na Hey Hey (Kiss Him Goodbye) Steam 
,,,,713 Mr Brightside The Killers 2004,Mr Brightside The Killers 2004,Mr Brightside The Killers 
,,,,714 Black Velvet Alannah Myles 1990,Black Velvet Alannah Myles 1990,Black Velvet Alannah Myles 
,,,,715 I'm Yours Jason Mraz 2008,I'm Yours Jason Mraz 2008,I'm Yours Jason Mraz 
,,,,716 My Blue Heaven Gene Austin 1927,My Blue Heaven Gene Austin 1927,My Blue Heaven Gene Austin 
,,,,717 It Had to Be You Isham Jones 1924,It Had to Be You Isham Jones 1924,It Had to Be You Isham Jones 
,,,,718 Tha Crossroads Bone Thugs-n-Harmony 1996,Tha Crossroads Bone Thugs-n-Harmony 1996,Tha Crossroads Bone Thugs-n-Harmony 
,,,,719 Ac-cent-tchu-ate the Positive Johnny Mercer 1945,Ac-cent-tchu-ate the Positive Johnny Mercer 1945,Ac-cent-tchu-ate the Positive Johnny Mercer 
,,,,720 Everyday People Sly & The Family Stone 1969,Everyday People Sly & The Family Stone 1969,Everyday People Sly & The Family Stone 
,,,,721 We Are Young fun. 2012,We Are Young fun. 2012,We Are Young fun. 
,,,,"722 Take Me Home, Country Roads John Denver 1971","Take Me Home, Country Roads John Denver 1971","Take Me Home, Country Roads John Denver "
,,,,723 Smoke! Smoke! Smoke! (That Cigarette) Tex Williams & The Western,Smoke! Smoke! Smoke! (That Cigarette) Tex Williams & The Western,Smoke! Smoke! Smoke! (That Cigarette) Tex Williams & The 
,,,,Caravan 1947,1947,#VALUE!
,,,,724 In the Summertime Mungo Jerry 1970,In the Summertime Mungo Jerry 1970,In the Summertime Mungo Jerry 
,,,,725 The Tracks of My Tears The Miracles 1965,The Tracks of My Tears The Miracles 1965,The Tracks of My Tears The Miracles 
,,,,726 Fly Robin Fly Silver Convention 1975,Fly Robin Fly Silver Convention 1975,Fly Robin Fly Silver Convention 
,,,,727 Love is a Many Splendoured Thing Four Aces 1955,Love is a Many Splendoured Thing Four Aces 1955,Love is a Many Splendoured Thing Four Aces 
,,,,728 Another Night MC Sar & The Real McCoy 1995,Another Night MC Sar & The Real McCoy 1995,Another Night MC Sar & The Real McCoy 
,,,,729 Long Tall Sally Little Richard 1956,Long Tall Sally Little Richard 1956,Long Tall Sally Little Richard 
,,,,730 You Sexy Thing Hot Chocolate 1976,You Sexy Thing Hot Chocolate 1976,You Sexy Thing Hot Chocolate 
,,,,731 The Morning After Maureen McGovern 1973,The Morning After Maureen McGovern 1973,The Morning After Maureen McGovern 
,,,,732 The Loco-Motion Grand Funk Railroad 1974,The Loco-Motion Grand Funk Railroad 1974,The Loco-Motion Grand Funk Railroad 
,,,,733 Get Off of My Cloud The Rolling Stones 1965,Get Off of My Cloud The Rolling Stones 1965,Get Off of My Cloud The Rolling Stones 
,,,,734 Roses Are Red Bobby Vinton 1962,Roses Are Red Bobby Vinton 1962,Roses Are Red Bobby Vinton 
,,,,735 Thank You (Falettinme be Mice Elf Again) Sly & The Family Stone 1970,Thank You (Falettinme be Mice Elf Again) Sly & The Family Stone 1970,Thank You (Falettinme be Mice Elf Again) Sly & The Family Stone 
,,,,736 Slow Poke Pee Wee King 1952,Slow Poke Pee Wee King 1952,Slow Poke Pee Wee King 
,,,,737 You Belong With Me Taylor Swift 2009,You Belong With Me Taylor Swift 2009,You Belong With Me Taylor Swift 
,,,,738 Stormy Weather (Keeps Rainin' All the Time) Lena Horne 1942,Stormy Weather (Keeps Rainin' All the Time) Lena Horne 1942,Stormy Weather (Keeps Rainin' All the Time) Lena Horne 
,,,,739 Ain't No Mountain High Enough Marvin Gaye & Tammi,Ain't No Mountain High Enough Marvin Gaye & Tammi,Ain't No Mountain High Enough Marvin Gaye & 
,,,,Terrell 1967,1967,#VALUE!
,,,,740 Auf Wiederseh'n Sweetheart Vera Lynn 1952,Auf Wiederseh'n Sweetheart Vera Lynn 1952,Auf Wiederseh'n Sweetheart Vera Lynn 
,,,,741 Beauty & the Beast Celine Dion & Peabo Bryson 1992,Beauty & the Beast Celine Dion & Peabo Bryson 1992,Beauty & the Beast Celine Dion & Peabo Bryson 
,,,,742 St Louis Blues Bessie Smith 1925,St Louis Blues Bessie Smith 1925,St Louis Blues Bessie Smith 
,,,,743 Peggy Sue Buddy Holly 1958,Peggy Sue Buddy Holly 1958,Peggy Sue Buddy Holly 
,,,,744 U Got it Bad Usher 2002,U Got it Bad Usher 2002,U Got it Bad Usher 
,,,,745 Sweet Caroline (Good Times Never Seemed So,Sweet Caroline (Good Times Never Seemed So,Sweet Caroline (Good Times Never Seemed 
,,,,Good) Neil Diamond 1969,Neil Diamond 1969,Neil Diamond 
,,,,746 Wedding Bell Blues Fifth Dimension 1969,Wedding Bell Blues Fifth Dimension 1969,Wedding Bell Blues Fifth Dimension 
,,,,747 Freebird Lynyrd Skynyrd 1974,Freebird Lynyrd Skynyrd 1974,Freebird Lynyrd Skynyrd 
,,,,748 Jump Kris Kross 1992,Jump Kris Kross 1992,Jump Kris Kross 
,,,,749 Wipe Out The Surfaris 1963,Wipe Out The Surfaris 1963,Wipe Out The Surfaris 
,,,,750 California Girls The Beach Boys 1965,California Girls The Beach Boys 1965,California Girls The Beach Boys 
,,,,751 Being With You Smokey Robinson 1981,Being With You Smokey Robinson 1981,Being With You Smokey Robinson 
,,,,752 Makin' Whoopee Eddie Cantor 1929,Makin' Whoopee Eddie Cantor 1929,Makin' Whoopee Eddie Cantor 
,,,,753 My Love Wings 1973,My Love Wings 1973,My Love Wings 
,,,,754 Shop Around Smokey Robinson & The,Shop Around Smokey Robinson & The,Shop Around Smokey Robinson & 
,,,,Miracles 1961,1961,#VALUE!
,,,,755 Smoke On the Water Deep Purple 1973,Smoke On the Water Deep Purple 1973,Smoke On the Water Deep Purple 
,,,,756 Hungry Heart Bruce Springsteen 1980,Hungry Heart Bruce Springsteen 1980,Hungry Heart Bruce Springsteen 
,,,,757 That's Amore Dean Martin 1954,That's Amore Dean Martin 1954,That's Amore Dean Martin 
,,,,758 My Life Billy Joel 1979,My Life Billy Joel 1979,My Life Billy Joel 
,,,,759 Brandy (You're A Fine Girl) Looking Glass 1972,Brandy (You're A Fine Girl) Looking Glass 1972,Brandy (You're A Fine Girl) Looking Glass 
,,,,760 Walk Don't Run The Ventures 1960,Walk Don't Run The Ventures 1960,Walk Don't Run The Ventures 
,,,,761 Surfin' USA The Beach Boys 1963,Surfin' USA The Beach Boys 1963,Surfin' USA The Beach Boys 
,,,,762 Ball of Confusion (That's What the World is,Ball of Confusion (That's What the World is,Ball of Confusion (That's What the World 
,,,,Today) The Temptations 1970,The Temptations 1970,The Temptations 
,,,,763 Sunshine Superman Donovan 1966,Sunshine Superman Donovan 1966,Sunshine Superman Donovan 
,,,,764 Frankenstein Edgar Winter Group 1973,Frankenstein Edgar Winter Group 1973,Frankenstein Edgar Winter Group 
,,,,765 Kiss You All Over Exile 1978,Kiss You All Over Exile 1978,Kiss You All Over Exile 
,,,,766 Wishing Well Terence Trent D'Arby 1988,Wishing Well Terence Trent D'Arby 1988,Wishing Well Terence Trent D'Arby 
,,,,767 Piano Man Billy Joel 1973,Piano Man Billy Joel 1973,Piano Man Billy Joel 
,,,,768 Ben Michael Jackson 1972,Ben Michael Jackson 1972,Ben Michael Jackson 
,,,,769 In the Ghetto Elvis Presley 1969,In the Ghetto Elvis Presley 1969,In the Ghetto Elvis Presley 
,,,,770 Hang On Sloopy The McCoys 1965,Hang On Sloopy The McCoys 1965,Hang On Sloopy The McCoys 
,,,,771 Singing The Blues Guy Mitchell 1956,Singing The Blues Guy Mitchell 1956,Singing The Blues Guy Mitchell 
,,,,772 Cry Like a Baby The Box Tops 1968,Cry Like a Baby The Box Tops 1968,Cry Like a Baby The Box Tops 
,,,,773 I Honestly Love You Olivia Newton-John 1974,I Honestly Love You Olivia Newton-John 1974,I Honestly Love You Olivia Newton-John 
,,,,"774 Brother, Can You Spare a Dime? Bing Crosby 1932","Brother, Can You Spare a Dime? Bing Crosby 1932","Brother, Can You Spare a Dime? Bing Crosby "
,,,,775 Lookin' Out My Back Door Creedence Clearwater,Lookin' Out My Back Door Creedence Clearwater,Lookin' Out My Back Door Creedence 
,,,,Revival 1970,1970,#VALUE!
,,,,776 Candy Man Sammy Davis Jr 1972,Candy Man Sammy Davis Jr 1972,Candy Man Sammy Davis Jr 
,,,,777 Burn Usher 2004,Burn Usher 2004,Burn Usher 
,,,,778 Stagger Lee Lloyd Price 1959,Stagger Lee Lloyd Price 1959,Stagger Lee Lloyd Price 
,,,,779 Moonlight Cocktail Glenn Miller 1942,Moonlight Cocktail Glenn Miller 1942,Moonlight Cocktail Glenn Miller 
,,,,780 Coming Up Paul McCartney 1980,Coming Up Paul McCartney 1980,Coming Up Paul McCartney 
,,,,781 Pop Muzik M 1979,Pop Muzik M 1979,Pop Muzik M 
,,,,782 As Time Goes By Rudy Vallee & his,As Time Goes By Rudy Vallee & his,As Time Goes By Rudy Vallee & 
,,,,Connecticut Yankees 1943,Yankees 1943,Yankees 
,,,,783 My Eyes Adored You Frankie Valli 1975,My Eyes Adored You Frankie Valli 1975,My Eyes Adored You Frankie Valli 
,,,,784 Strawberry Fields Forever The Beatles 1967,Strawberry Fields Forever The Beatles 1967,Strawberry Fields Forever The Beatles 
,,,,785 Some of These Days Sophie Tucker 1911,Some of These Days Sophie Tucker 1911,Some of These Days Sophie Tucker 
,,,,786 I Think I Love You The Partridge Family 1970,I Think I Love You The Partridge Family 1970,I Think I Love You The Partridge Family 
,,,,787 Judy in Disguise (With Glasses) John Fred & The Playboy,Judy in Disguise (With Glasses) John Fred & The Playboy,Judy in Disguise (With Glasses) John Fred & The 
,,,,Band 1968,1968,#VALUE!
,,,,788 All Along the Watchtower Jimi Hendrix 1968,All Along the Watchtower Jimi Hendrix 1968,All Along the Watchtower Jimi Hendrix 
,,,,789 A Thousand Miles Vanessa Carlton 2002,A Thousand Miles Vanessa Carlton 2002,A Thousand Miles Vanessa Carlton 
,,,,790 Fast Car Tracy Chapman 1988,Fast Car Tracy Chapman 1988,Fast Car Tracy Chapman 
,,,,791 Red Red Wine UB40 1988,Red Red Wine UB40 1988,Red Red Wine UB40 
,,,,792 Live & Let Die Wings 1973,Live & Let Die Wings 1973,Live & Let Die Wings 
,,,,793 Come On Eileen Dexys Midnight Runners 1983,Come On Eileen Dexys Midnight Runners 1983,Come On Eileen Dexys Midnight Runners 
,,,,794 Right Back Where We Started From Maxine Nightingale 1976,Right Back Where We Started From Maxine Nightingale 1976,Right Back Where We Started From Maxine Nightingale 
,,,,795 Brother Louie Stories 1973,Brother Louie Stories 1973,Brother Louie Stories 
,,,,796 Ol' Man River Paul Robeson 1928,Ol' Man River Paul Robeson 1928,Ol' Man River Paul Robeson 
,,,,797 Band On the Run Wings 1974,Band On the Run Wings 1974,Band On the Run Wings 
,,,,798 Rich Girl Hall & Oates 1977,Rich Girl Hall & Oates 1977,Rich Girl Hall & Oates 
,,,,799 Green River Creedence Clearwater,Green River Creedence Clearwater,Green River Creedence 
,,,,Revival 1969,1969,#VALUE!
,,,,800 Got to Give it Up Marvin Gaye 1977,Got to Give it Up Marvin Gaye 1977,Got to Give it Up Marvin Gaye 
,,,,801 Behind Closed Doors Charlie Rich 1973,Behind Closed Doors Charlie Rich 1973,Behind Closed Doors Charlie Rich 
,,,,802 Don't Go Breaking My Heart Elton John & Kiki Dee 1976,Don't Go Breaking My Heart Elton John & Kiki Dee 1976,Don't Go Breaking My Heart Elton John & Kiki Dee 
,,,,803 I'm Looking Over a Four Leaf Clover Art Mooney 1948,I'm Looking Over a Four Leaf Clover Art Mooney 1948,I'm Looking Over a Four Leaf Clover Art Mooney 
,,,,804 Mr Big Stuff Jean Knight 1971,Mr Big Stuff Jean Knight 1971,Mr Big Stuff Jean Knight 
,,,,805 Tiger Rag Original Dixieland Jazz Band 1918,Tiger Rag Original Dixieland Jazz Band 1918,Tiger Rag Original Dixieland Jazz Band 
,,,,806 Kryptonite Three Doors Down 2000,Kryptonite Three Doors Down 2000,Kryptonite Three Doors Down 
,,,,807 Hey Paula Paul & Paula 1963,Hey Paula Paul & Paula 1963,Hey Paula Paul & Paula 
,,,,808 Go Your Own Way Fleetwood Mac 1977,Go Your Own Way Fleetwood Mac 1977,Go Your Own Way Fleetwood Mac 
,,,,809 Big Bad John Jimmy Dean 1961,Big Bad John Jimmy Dean 1961,Big Bad John Jimmy Dean 
,,,,810 Wake Me Up Before You Go Go Wham! 1984,Wake Me Up Before You Go Go Wham! 1984,Wake Me Up Before You Go Go Wham! 
,,,,811 Tangerine Jimmy Dorsey 1942,Tangerine Jimmy Dorsey 1942,Tangerine Jimmy Dorsey 
,,,,812 Wayward Wind Gogi Grant 1956,Wayward Wind Gogi Grant 1956,Wayward Wind Gogi Grant 
,,,,813 Disco Lady Johnnie Taylor 1976,Disco Lady Johnnie Taylor 1976,Disco Lady Johnnie Taylor 
,,,,814 Spanish Harlem Aretha Franklin 1971,Spanish Harlem Aretha Franklin 1971,Spanish Harlem Aretha Franklin 
,,,,815 Wicked Game Chris Isaak 1991,Wicked Game Chris Isaak 1991,Wicked Game Chris Isaak 
,,,,816 Rosanna Toto 1982,Rosanna Toto 1982,Rosanna Toto 
,,,,817 Papa Don't Preach Madonna 1986,Papa Don't Preach Madonna 1986,Papa Don't Preach Madonna 
,,,,818 Somebody to Love Jefferson Airplane 1967,Somebody to Love Jefferson Airplane 1967,Somebody to Love Jefferson Airplane 
,,,,819 Kokomo The Beach Boys 1988,Kokomo The Beach Boys 1988,Kokomo The Beach Boys 
,,,,820 Manana (Is Soon Enough For Me) Peggy Lee 1948,Manana (Is Soon Enough For Me) Peggy Lee 1948,Manana (Is Soon Enough For Me) Peggy Lee 
,,,,821 Puttin' on the Ritz Harry Richman 1930,Puttin' on the Ritz Harry Richman 1930,Puttin' on the Ritz Harry Richman 
,,,,822 One More Try George Michael 1988,One More Try George Michael 1988,One More Try George Michael 
,,,,823 I'll Walk Alone Dinah Shore 1944,I'll Walk Alone Dinah Shore 1944,I'll Walk Alone Dinah Shore 
,,,,824 Shout Tears For Fears 1985,Shout Tears For Fears 1985,Shout Tears For Fears 
